organization,subject_code,subject_code_key,description,description_variants,units,offered_semesters,source_academic_years,prerequisite_codes,prerequisite_logic,prerequisite_confidence,possible_prerequisite_codes,possible_prerequisite_logic,professor_surnames,sections,prerequisite_notes
COA,BGBERMIC,BGBERMIC,"GOVERNANCE,BUSINESS ETHICS,RISK,MANAGEMENT AND INTERNAL CONTROL","GOVERNANCE,BUSINESS ETHICS,RISK,MANAGEMENT AND INTERNAL CONTROL",3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LIM,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,BLAWREG,BLAWREG,BUSINESS LAW AND REGULATIONS,BUSINESS LAW AND REGULATIONS,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,BUSTAX,BUSTAX,BUSINESS TAXATION,BUSINESS TAXATION,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,INCTAX,ALL,UNASSIGNED,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules. Possible review: Business Taxation commonly follows Income Taxation.
COA,CONFRAST,CONFRAST,CONCEPTUAL FRAMEWORK AND STANDARD,CONCEPTUAL FRAMEWORK AND STANDARD,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BARBIN|RONIDEL,ACC 101|ACC 102|ACC 103,No clear prerequisite identified from the uploaded schedules.
COA,CONWRLD,CONWRLD,The Contemporary World,The Contemporary World,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALONZO,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,COSTACC,COSTACC,COST ACCOUNTING AND CONTROL,COST ACCOUNTING AND CONTROL,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,FUNDACC1,ALL,BARBIN|RAMOS,ACC 101|ACC 102|ACC 103,No clear prerequisite identified from the uploaded schedules. Possible review: Cost Accounting commonly follows Fundamentals of Accounting.
COA,ECODEV,ECODEV,ECONOMIC DEVELOPMENT,ECONOMIC DEVELOPMENT,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LIM,ACC 101|ACC 102|ACC 103,No clear prerequisite identified from the uploaded schedules.
COA,ENTREMIN,ENTREMIN,THE ENTREPRENEURIAL MIND,THE ENTREPRENEURIAL MIND,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 401|ACC 402,No clear prerequisite identified from the uploaded schedules.
COA,ENVISCI,ENVISCI,Environmental Science,Environmental Science,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALARIAO,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,ETHICS,ETHICS,ETHICS,ETHICS,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,FINACC,FINACC,FINANCIAL ACCOUNTING AND REPORTING,FINANCIAL ACCOUNTING AND REPORTING,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,FUNDACC1,ALL,UNASSIGNED,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules. Possible review: Financial Accounting and Reporting commonly follows Fundamentals of Accounting.
COA,FINMAN,FINMAN,FINANCIAL MANAGEMENT,FINANCIAL MANAGEMENT,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,RONIDEL,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,FINMAR,FINMAR,FINANCIAL MARKET,FINANCIAL MARKET,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,RONIDEL,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,FUNDACC 1,FUNDACC1,FUNDAMENTALS OF ACCOUNTING 1 & 2,FUNDAMENTALS OF ACCOUNTING 1 & 2 | FUNDAMENTALS OF ACCOUNTING 1&2,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,HUBEORG,HUBEORG,Human Behavior in Organization,Human Behavior in Organization,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CANAY,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,IBUSTRA,IBUSTRA,INTERNATIONAL BUSINESS AND TRADE,INTERNATIONAL BUSINESS AND TRADE,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CACULITAN|RONIDEL,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,INCTAX,INCTAX,INCOME TAXATION,INCOME TAXATION,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,INTACC1,INTACC1,INTERMEDIATE ACCOUNTING 1,INTERMEDIATE ACCOUNTING 1,6,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BARBIN|COSINA,ACC 101|ACC 102|ACC 103,No clear prerequisite identified from the uploaded schedules.
COA,INTACC 2,INTACC2,INTERMEDIATE ACCOUNTING 2,INTERMEDIATE ACCOUNTING 2,3,1st Semester,AY 2026-2027,INTACC1,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,ACC 201|ACC 202|ACC 203,Clear course sequence inferred from subject codes/descriptions.
COA,INTACC3,INTACC3,INTERMEDIATE ACCOUNTING 3,INTERMEDIATE ACCOUNTING 3,3,2nd Semester,AY 2025-2026,INTACC2,ALL,INFERRED_SEQUENCE,NONE,NONE,BARBIN|COSINA,ACC 201|ACC 202|ACC 203,Clear course sequence inferred from subject codes/descriptions.
COA,IT-ATB,ITATB,IT APPLICATION TOOLS IN BUSINESS,IT APPLICATION TOOLS IN BUSINESS,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SORIANO,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,KOMFIL,KOMFIL,Kontekswalisadong Komunikasyon sa Filipino,Kontekstwalisadong Komunikasyon sa Filipino | Kontekswalisadong Komunikasyon sa Filipino,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CALANGIAN|MARQUEZ,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,LEAD 1,LEAD1,Leadership 1,Leadership 1,1.5,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,LEAD 2,LEAD2,Leadership 2,Leadership 2,1.5,2nd Semester,AY 2025-2026,LEAD1,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN|LORETO|SALONGA,ACC 101|ACC 102|ACC 103,Clear course sequence inferred from subject codes/descriptions.
COA,LEAD 3,LEAD3,Leadership 1,Leadership 1 | Leadership 3,1.5,1st Semester,AY 2026-2027,LEAD2,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,ACC 201|ACC 202|ACC 203,Clear course sequence inferred from subject codes/descriptions.
COA,LEAD 4,LEAD4,Leadership 4,Leadership 4,1.5,2nd Semester,AY 2025-2026,LEAD3,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN|SALONGA,ACC 201|ACC 202|ACC 203,Clear course sequence inferred from subject codes/descriptions.
COA,LEAD 5,LEAD5,Leadership 5,Leadership 5,1.5,1st Semester,AY 2026-2027,LEAD4,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,ACC 301|ACC 302|ACC 303,Clear course sequence inferred from subject codes/descriptions.
COA,LEAD 6,LEAD6,Leadership 6,Leadership 6,1.5,2nd Semester,AY 2025-2026,LEAD5,ALL,INFERRED_SEQUENCE,NONE,NONE,LORETO|SALONGA,ACC 301|ACC 302|ACC 303,Clear course sequence inferred from subject codes/descriptions.
COA,LEAD 7,LEAD7,Leadership 7,Leadership 7,1.5,1st Semester,AY 2026-2027,LEAD6,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,ACC 401|ACC 402|ACC 403,Clear course sequence inferred from subject codes/descriptions.
COA,LEAD8,LEAD8,Leadership 8,Leadership 8,1.5,2nd Semester,AY 2025-2026,LEAD7,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN|LORETO,ACC 401|ACC 402,Clear course sequence inferred from subject codes/descriptions.
COA,MANECO,MANECO,MANAGERIAL ECONOMICS,MANAGERIAL ECONOMICS,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,MANSCI,MANSCI,MANAGEMENT SCIENCE,MANAGEMENT SCIENCE,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BERNABE,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,MATHWRLD,MATHWRLD,Mathematics in the Modern World,Mathematics in the Modern World,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,AMPARADO,ACC 101|ACC 102|ACC 103,No clear prerequisite identified from the uploaded schedules.
COA,NSTP 1,NSTP1,National Service Traning Program 1,National Service Training Program 1 | National Service Traning Program 1,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MARTER,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,NSTP 2,NSTP2,National Service Training Program 2,National Service Training Program 2,3,2nd Semester,AY 2025-2026,NSTP1,ALL,INFERRED_SEQUENCE,NONE,NONE,MARTER,ACC 101|ACC 102|ACC 103,Clear course sequence inferred from subject codes/descriptions.
COA,OBLICON,OBLICON,LAW ON OBLIGATION AND CONTRACTS,LAW ON OBLIGATION AND CONTRACTS,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TULOD,ACC 101|ACC 102|ACC 103,No clear prerequisite identified from the uploaded schedules.
COA,OM-TQM,OMTQM,OPERATIONS MANAGEMENT AND TQM,OPERATIONS MANAGEMENT AND TQM,,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,PATHFIT 1,PATHFIT1,Physical Activity Towards Health and Fitness,Physical Activity Towards Health and Fitness,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ARRABIS,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,PATHFIT2,PATHFIT2,Exercise-Based Course,Exercise-Based Course,2,2nd Semester,AY 2025-2026,PATHFIT1,ALL,INFERRED_SEQUENCE,NONE,NONE,GABUYA|LORETO,ACC 101|ACC 102|ACC 103,Clear course sequence inferred from subject codes/descriptions.
COA,PATHFIT 3,PATHFIT3,Dance and Fitness Wellness,Dance and Fitness Wellness,2,1st Semester,AY 2026-2027,PATHFIT2,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,ACC 201|ACC 202|ACC 203,Clear course sequence inferred from subject codes/descriptions.
COA,PE 4,PE4,Team Sports,Team Sports,2,2nd Semester,AY 2025-2026,PATHFIT3,ALL,INFERRED_SEQUENCE,NONE,NONE,GABUYA|MONTEBON|NABUAB,ACC 201|ACC 202|ACC 203,PE 4 appears as the fourth PE/PATHFIT subject after PATHFIT 3.
COA,PHILHIST,PHILHIST,Reading in Philippine History,Reading in Philippine History | Readings in Philippine History,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CORRALES,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,PMTACC,PMTACC,PRINCIPLES AND METHOD OF TEACHING ACCOUNTING,PRINCIPLES AND METHOD OF TEACHING ACCOUNTING,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,PURPCOMM,PURPCOMM,Purposive Communication,Purposive Communication,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA,ACC 101|ACC 102|ACC 103,No clear prerequisite identified from the uploaded schedules.
COA,QM-TQM,QMTQM,OPERATIONS MANAGEMENT AND TQM,OPERATIONS MANAGEMENT AND TQM,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 101|ACC 102|ACC 103,No clear prerequisite identified from the uploaded schedules.
COA,RFLIB,RFLIB,REGULATORY FRAMEWORK AND LEGAL,REGULATORY FRAMEWORK AND LEGAL,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CACULITAN|TULOD,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,RIZAL,RIZAL,Rizal's Life & Works,Rizal's Life & Works,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CORRALES,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,SBUSANA,SBUSANA,STRATEGIC BUSINESS ANALYSIS,STRATEGIC BUSINESS ANALYSIS,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,RONIDEL,ACC 401|ACC 402|ACC 403,No clear prerequisite identified from the uploaded schedules.
COA,SCITECH,SCITECH,"Science, Technology, and Society","Science, Technology, and Society",3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELGADO|PARTO,ACC 401|ACC 402,No clear prerequisite identified from the uploaded schedules.
COA,SCOSMAN,SCOSMAN,STRATEGIC COST MANAGEMENT,STRATEGIC COST MANAGEMENT,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ACC 201|ACC 202|ACC 203,No clear prerequisite identified from the uploaded schedules.
COA,SOSLIT,SOSLIT,Sosyedad at Literatura,Sosyedad at Literatura,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ACOSTA|CUADRA|JABONITA,ACC 101|ACC 102|ACC 103,No clear prerequisite identified from the uploaded schedules.
COA,STASSAP,STASSAP,STATISTICAL ANALYSIS WITH SOFTWARE APPLICATION,STATISTICAL ANALYSIS WITH SOFTWARE APPLICATION,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SORIANO,ACC 301|ACC 302|ACC 303,No clear prerequisite identified from the uploaded schedules.
COA,STRAMAN,STRAMAN,Strategic Management,Strategic Management,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BERNABE|CACULITAN,ACC 401|ACC 402,No clear prerequisite identified from the uploaded schedules.
COA,UNDSELF,UNDSELF,Understanding the Self/ Pag unawa sa Sarili,Understanding the Self | Understanding the Self/ Pag unawa sa Sarili,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ARRABIS|GALLEN,ACC 101|ACC 102|ACC 103|ACC 104,No clear prerequisite identified from the uploaded schedules.
COA,UPFRS,UPFRS,UPDATES IN FINANCIAL REPORTING STANDARDS,UPDATES IN FINANCIAL REPORTING STANDARDS,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LASANG,ACC 401|ACC 402,No clear prerequisite identified from the uploaded schedules.
COA,VALCOMET,VALCOMET,VALUATION CONCEPTS AND METHODS,VALUATION CONCEPTS AND METHODS,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LASANG,ACC 401|ACC 402,No clear prerequisite identified from the uploaded schedules.
COA,VISART,VISART,Reading Visual Art,Reading Visual Art,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CUADRA|RICO,ACC 401|ACC 402,No clear prerequisite identified from the uploaded schedules.
